nuts_3,nuts_2,nuts_1
HR032,HR03,HR0
HR048,HR04,HR0
FRA10,FRA1,FRA
FRA20,FRA2,FRA
FRA30,FRA3,FRA
FRA40,FRA4,FRA
FRA50,FRA5,FRA
MK003,MK00,MK0
MK004,MK00,MK0
MK005,MK00,MK0
MK006,MK00,MK0
MK007,MK00,MK0
MK008,MK00,MK0
MK001,MK00,MK0
MK002,MK00,MK0
PL428,PL42,PL4
PL426,PL42,PL4
PL427,PL42,PL4
PT11B,PT11,PT1
PT11C,PT11,PT1
PT11E,PT11,PT1
PT16F,PT16,PT1
PT16G,PT16,PT1
PL218,PL21,PL2
PL21A,PL21,PL2
PL523,PL52,PL5
PL524,PL52,PL5
PL616,PL61,PL6
PL619,PL61,PL6
PL636,PL63,PL6
PL638,PL63,PL6
PT119,PT11,PT1
PT11A,PT11,PT1
PT11D,PT11,PT1
PT186,PT18,PT1
PT187,PT18,PT1
PL219,PL21,PL2
PL617,PL61,PL6
PL618,PL61,PL6
PL637,PL63,PL6
PL12B,PL12,PL1
PL12C,PL12,PL1
PL12D,PL12,PL1
PL12E,PL12,PL1
PT16D,PT16,PT1
PT16E,PT16,PT1
PT16H,PT16,PT1
PT16I,PT16,PT1
PT16J,PT16,PT1
PT170,PT17,PT1
RO226,RO22,RO2
RO312,RO31,RO3
RO315,RO31,RO3
SI036,SI03,SI0
SI038,SI03,SI0
SI031,SI03,SI0
SI032,SI03,SI0
SI033,SI03,SI0
SI034,SI03,SI0
SI035,SI03,SI0
SI037,SI03,SI0
SI041,SI04,SI0
SI042,SI04,SI0
SI043,SI04,SI0
SI044,SI04,SI0
UKD33,UKD3,UKD
UKD34,UKD3,UKD
UKD35,UKD3,UKD
UKD36,UKD3,UKD
UKD37,UKD3,UKD
UKD44,UKD4,UKD
UKD45,UKD4,UKD
UKD46,UKD4,UKD
UKD47,UKD4,UKD
UKH15,UKH1,UKH
UKH16,UKH1,UKH
UKH17,UKH1,UKH
UKH34,UKH3,UKH
UKH35,UKH3,UKH
UKH36,UKH3,UKH
UKH37,UKH3,UKH
UKI31,UKI3,UKI
UKI32,UKI3,UKI
UKI33,UKI3,UKI
UKI34,UKI3,UKI
UKI41,UKI4,UKI
UKI42,UKI4,UKI
UKI43,UKI4,UKI
UKI44,UKI4,UKI
UKI45,UKI4,UKI
UKI51,UKI5,UKI
UKI52,UKI5,UKI
UKI53,UKI5,UKI
UKI54,UKI5,UKI
UKI61,UKI6,UKI
UKI62,UKI6,UKI
UKI63,UKI6,UKI
UKI71,UKI7,UKI
UKI72,UKI7,UKI
UKI73,UKI7,UKI
UKI74,UKI7,UKI
UKI75,UKI7,UKI
UKJ25,UKJ2,UKJ
UKJ26,UKJ2,UKJ
UKJ27,UKJ2,UKJ
UKJ28,UKJ2,UKJ
UKJ35,UKJ3,UKJ
UKJ36,UKJ3,UKJ
UKJ37,UKJ3,UKJ
UKJ43,UKJ4,UKJ
UKJ44,UKJ4,UKJ
UKJ45,UKJ4,UKJ
UKJ46,UKJ4,UKJ
CN_X_HK,CN_X,CN_
AT126,AT12,AT1
AT127,AT12,AT1
AT111,AT11,AT1
AT112,AT11,AT1
AT113,AT11,AT1
AT121,AT12,AT1
AT122,AT12,AT1
AT123,AT12,AT1
AT124,AT12,AT1
AT125,AT12,AT1
AT130,AT13,AT1
AT211,AT21,AT2
AT212,AT21,AT2
AT213,AT21,AT2
AT221,AT22,AT2
AT222,AT22,AT2
AT223,AT22,AT2
AT224,AT22,AT2
AT225,AT22,AT2
AT226,AT22,AT2
AT311,AT31,AT3
AT312,AT31,AT3
AT313,AT31,AT3
AT314,AT31,AT3
AT315,AT31,AT3
AT321,AT32,AT3
AT322,AT32,AT3
AT323,AT32,AT3
CH051,CH05,CH0
CH052,CH05,CH0
CH053,CH05,CH0
CH054,CH05,CH0
CH055,CH05,CH0
CH056,CH05,CH0
ATXXX,ATXX,ATX
BEXXX,BEXX,BEX
BGXXX,BGXX,BGX
CHXXX,CHXX,CHX
CHZZZ,CHZZ,CHZ
CZXXX,CZXX,CZX
CH011,CH01,CH0
CH025,CH02,CH0
CH031,CH03,CH0
CH032,CH03,CH0
CH063,CH06,CH0
CH064,CH06,CH0
CH065,CH06,CH0
CH066,CH06,CH0
CH033,CH03,CH0
BEZZZ,BEZZ,BEZ
CZZZZ,CZZZ,CZZ
ATZZZ,ATZZ,ATZ
CH040,CH04,CH0
CH070,CH07,CH0
CH021,CH02,CH0
CH024,CH02,CH0
CH023,CH02,CH0
CH022,CH02,CH0
CH013,CH01,CH0
CH012,CH01,CH0
CH057,CH05,CH0
CH061,CH06,CH0
CH062,CH06,CH0
DE801,DE80,DE8
DE802,DE80,DE8
DE805,DE80,DE8
DE806,DE80,DE8
DE807,DE80,DE8
DE808,DE80,DE8
DE809,DE80,DE8
DE80A,DE80,DE8
DE80B,DE80,DE8
DE80C,DE80,DE8
DE80D,DE80,DE8
DE80E,DE80,DE8
DE80F,DE80,DE8
DE80G,DE80,DE8
DE80H,DE80,DE8
DE80I,DE80,DE8
DEXXX,DEXX,DEX
DKXXX,DKXX,DKX
EEXXX,EEXX,EEX
EL111,EL11,EL1
EL112,EL11,EL1
EL113,EL11,EL1
EL114,EL11,EL1
EL115,EL11,EL1
EL121,EL12,EL1
EL122,EL12,EL1
EL123,EL12,EL1
EL124,EL12,EL1
EL125,EL12,EL1
EL126,EL12,EL1
EL127,EL12,EL1
EL132,EL13,EL1
EL133,EL13,EL1
EL134,EL13,EL1
EL141,EL14,EL1
EL142,EL14,EL1
EL143,EL14,EL1
EL144,EL14,EL1
EL211,EL21,EL2
EL212,EL21,EL2
EL213,EL21,EL2
EL214,EL21,EL2
EL222,EL22,EL2
EL231,EL23,EL2
EL232,EL23,EL2
EL233,EL23,EL2
EL241,EL24,EL2
EL242,EL24,EL2
EL243,EL24,EL2
EL244,EL24,EL2
EL245,EL24,EL2
EL251,EL25,EL2
EL252,EL25,EL2
EL253,EL25,EL2
EL254,EL25,EL2
EL255,EL25,EL2
EL300,EL30,EL3
ELXXX,ELXX,ELX
ESXXX,ESXX,ESX
FIXXX,FIXX,FIX
EEZZZ,EEZZ,EEZ
ESZZZ,ESZZ,ESZ
ELZZZ,ELZZ,ELZ
IS002,IS00,IS0
IS001,IS00,IS0
FR910,FR91,FR9
FR920,FR92,FR9
FR930,FR93,FR9
FR940,FR94,FR9
FRXXX,FRXX,FRX
HUXXX,HUXX,HUX
IEXXX,IEXX,IEX
ISXXX,ISXX,ISX
ISZZZ,ISZZ,ISZ
IEZZZ,IEZZ,IEZ
FRZZZ,FRZZ,FRZ
HUZZZ,HUZZ,HUZ
HRZZZ,HRZZ,HRZ
ITXXX,ITXX,ITX
ITZZZ,ITZZ,ITZ
LVZZZ,LVZZ,LVZ
LUZZZ,LUZZ,LUZ
NLXXX,NLXX,NLX
NOXXX,NOXX,NOX
PL121,PL12,PL1
PL122,PL12,PL1
PL215,PL21,PL2
PL216,PL21,PL2
PL521,PL52,PL5
PL522,PL52,PL5
PL614,PL61,PL6
PL615,PL61,PL6
PL631,PL63,PL6
PL635,PL63,PL6
PLXXX,PLXX,PLX
PT113,PT11,PT1
PT114,PT11,PT1
PT115,PT11,PT1
PT116,PT11,PT1
PT117,PT11,PT1
PT118,PT11,PT1
PT161,PT16,PT1
PT162,PT16,PT1
PT163,PT16,PT1
PT164,PT16,PT1
PT165,PT16,PT1
PT166,PT16,PT1
PT167,PT16,PT1
PT168,PT16,PT1
PT169,PT16,PT1
PT16A,PT16,PT1
PT16C,PT16,PT1
PT171,PT17,PT1
PT172,PT17,PT1
PT182,PT18,PT1
PT183,PT18,PT1
PTXXX,PTXX,PTX
PTZZZ,PTZZ,PTZ
PLZZZ,PLZZ,PLZ
TR901,TR90,TR9
TR713,TR71,TR7
TR902,TR90,TR9
TR421,TR42,TR4
TR521,TR52,TR5
TR611,TR61,TR6
TR621,TR62,TR6
TR631,TR63,TR6
TR812,TR81,TR8
ROXXX,ROXX,ROX
SEXXX,SEXX,SEX
SI011,SI01,SI0
SI012,SI01,SI0
SI013,SI01,SI0
SI014,SI01,SI0
SI015,SI01,SI0
SI016,SI01,SI0
SI017,SI01,SI0
SI018,SI01,SI0
SI021,SI02,SI0
SI022,SI02,SI0
SI023,SI02,SI0
SI024,SI02,SI0
SIXXX,SIXX,SIX
SKXXX,SKXX,SKX
TRXXX,TRXX,TRX
TRZZZ,TRZZ,TRZ
UKD31,UKD3,UKD
UKD32,UKD3,UKD
UKD43,UKD4,UKD
TRA11,TRA1,TRA
TR425,TR42,TR4
TR831,TR83,TR8
TR832,TR83,TR8
TR424,TR42,TR4
TR510,TR51,TR5
TR322,TR32,TR3
TRB21,TRB2,TRB
TR211,TR21,TR2
TR323,TR32,TR3
TR100,TR10,TR1
TR331,TR33,TR3
SIZZZ,SIZZ,SIZ
SKZZZ,SKZZ,SKZ
SEZZZ,SEZZ,SEZ
TR411,TR41,TR4
TR321,TR32,TR3
TRB11,TRB1,TRB
TR310,TR31,TR3
TR422,TR42,TR4
UKF21,UKF2,UKF
UKF22,UKF2,UKF
UKF30,UKF3,UKF
UKG11,UKG1,UKG
UKG12,UKG1,UKG
UKG13,UKG1,UKG
UKG21,UKG2,UKG
UKG22,UKG2,UKG
UKG23,UKG2,UKG
UKG24,UKG2,UKG
UKG31,UKG3,UKG
UKG32,UKG3,UKG
UKG33,UKG3,UKG
UKH11,UKH1,UKH
UKZZZ,UKZZ,UKZ
UKF24,UKF2,UKF
UKF25,UKF2,UKF
UKG36,UKG3,UKG
UKG37,UKG3,UKG
UKH13,UKH1,UKH
UKH33,UKH3,UKH
UKI11,UKI1,UKI
UKI12,UKI1,UKI
UKI21,UKI2,UKI
UKI22,UKI2,UKI
UKI23,UKI2,UKI
UKJ23,UKJ2,UKJ
UKJ24,UKJ2,UKJ
UKJ33,UKJ3,UKJ
UKJ42,UKJ4,UKJ
UKXXX,UKXX,UKX
UKG38,UKG3,UKG
UKG39,UKG3,UKG
