unics_id,full_name
1214177,Frederic Henri Lucien Geissmann
1212045,Joanna Dunkley
1212781,Anna Pavlova
1210489,Susanna Terracini
1214261,Haike Antelmann
1215065,Demetrios Christodoulou
1214210,Julia Claire Simner
1213182,Rune Linding Raun
1214269,Jan COOLS
1213468,Vladimir Canudas Romo
1211450,Christopher Gordon Tate
1216722,Claire VALLANCE
1209910,Judit Mesman
1214174,Ido Bachelet
1209973,James Poulet
1213718,David Strömberg
1213406,Gillian Margaret Valentine
1215380,Sigrid Wadauer
1211349,Juan Francisco Rubio-Ramirez
1209586,Jon Slate
1212343,Ayse Irem Tuna Richardson
1213983,Wim Robberecht
1211015,Patrick Mehlen
1209579,Christine Elizabeth Holt
1212289,Steven Allen Vertovec
1212084,Tomasz Dietl
1214950,Thomas Franklin George Higham
1212279,Fredrik Kahl
1216835,Jan J. Weigand
1212018,Robert Hawley
1216482,Ian Metcalfe
1210691,Nicholas Walker
1215888,Kim Diana Lea De Keersmaecker
1212784,Nicola Brunetti-Pierri
1215261,Fabien Quéré
1216508,Martin Vetterli
1215277,Sergey Bozhevolnyi
1209842,Franck Merle
1209521,Filippo Luciano Carlo De Vivo
1215819,John Fisher
1213386,David Preiss
1214764,Guadalupe Sabio Buzo
1209789,Govindkrishna Govind Kaigala
1214539,Tsuyoshi Kato
1215856,Dana Branzei
1209492,Jan Cools
1211657,Nils Ove Tor Mårtensson
1212239,Mark Graham
1210604,Pieter Muysken
1211324,Carlo Barbante
1212735,Steve Bloom
1216151,Valeri Nakariakov
1213968,Eric Alexander Miska
1216959,Carolina Tafalla Piñeiro
1215245,Stephen Mann
1212179,Damien Baigl
1210615,Duncan Odom
1212599,Graham Leon Collingridge
1214313,Regina Hoffmann-Vogel
1210736,Jorge Gascon Sabate
1215181,Cornelis Marinus Jozef Pieterse
1214040,Dirk Helbing
1214542,Andreas Juettner
1214067,Gerardus Johannes Maria Meijer
1214598,Francois Loeser
1215940,Keisuke Kaji
1210261,Emre Yaksi
1215957,Roderic Guigó
1210032,Alexandra Turchyn
1216045,James Frederick Charles Windmill
1216572,Olena Khomenko
1210648,Oscar Marin Parra
1211173,Stephen West
1217012,Kazufumi Mochizuki
1215994,Roman Anton Inderst
1216411,Jan RAMON
1217674,Maximilian John Telford
1213486,Rocio Sotillo Roman
1209872,Anne Elizabeth Magurran
1217439,Anastasia Ailamaki
1210653,Matteo Carandini
1210094,Lutz Ackermann
1214416,Francesco Ricci
1217606,Jean-Paul B.B. Vincent
1212834,Andreas Radbruch
1209837,Kausilia Krishnawatie KRISHNADATH
1212965,Fabrizio Nestola
1217403,Robert Joseph Adler
1211386,Stijn Bussels
1210678,Daniel CREMERS
1210404,Massimo Tavoni
1212374,Pieter Verburg
1209322,Giovanna Rizzarelli
1210734,Rainer Blatt
1214885,Marianne Lemoine Ép.Goumard
1209259,Jay Stock
1210652,Gilles Jean Laurent
1216180,Owe Orwar
1215877,Patrick John Pollard
1210727,Fabian Walter
1209531,Karl-Peter Hopfner
1211285,Thomas Bein
1211276,Bodo Rosenhahn
1209998,Hagit Amirav
1210526,Timon Rabczuk
1216323,Tobias Jan August Kippenberg
1211794,Xavier Bonfils
1212496,Antonius Hendrikus Gerardus Ebbers
1216212,Gilad Daniel Silberberg
1211786,Gary Richard Lewin
1212119,Etienne Koechlin
1210274,Florian Hollfelder
1214683,Enrique Zuazua
1214492,Hendrikje Nienborg
1211903,Mikhail Katsnelson
1209136,Daryl Stump
1213484,Lucie Tajcmanova
1209164,Franciscus C.T. Van Der Helm
1210037,Maurizio Prato
1210999,Jeffrey Jensen
1212571,François-Loic Cosset
1216054,Manuel Mameli
1215852,Paola Romagnani
1215576,Jean-Marc Serge Thierry Triscone
1217007,Johan Elf
1214638,Alexander Giles Davies
1209855,Carla Maria De Jesus Fernandes
1215978,Stefaan Vaes
1217336,Cedric Marie Joseph Ryngaert
1214667,Georgy Shlyapnikov
1214804,Emma Geertruida Elisabeth De Vries
1210281,Heiko Lickert
1210739,Gianluca Cavoto
1215468,Eckehard Gotz Steinbach
1214586,Christopher John Ballentine
1211229,Olivier Claude Jacques Le Fevre
1210770,Katja Franko Aas
1213094,Colin Jon Akerman
1210242,Bastiaan Jeroen De Kloet
1215587,Nadav Katz
1213910,Raymond Michel Schiffelers
1217124,Gabriele Clarissa Hegerl
1213244,Asli Ozyurek-Hagoort
1210822,Manuel Bodirsky
1217612,James Shafto Wilkinson
1215033,Lisa Bortolotti
1214748,Michael Guggenheim
1217466,Giuseppe Mingione
1215094,Marco Stampanoni
1210264,Peter John Hore
1209468,Frank Kirchhoff
1213222,Michael Schiltz
1214191,Alan John Drew
1209389,Michael Potente
1212273,Peter William Harold Holland
1210791,Bastian Leibe
1210167,Hugo Dyfrig Critchley
1216243,Mohamed Lamkanfi
1216800,Martin SCHRODER
1213662,Ingrid Van Keilegom
1214568,Dario Bonanomi
1217543,Hakan Urey
