code,description
HES,Higher or Secondary Education Establishments
OTH,Other
PRC,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PUB,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
REC,Research Organisations
